DASY_KEY,DETAIL_DASY_KEY,SUBJECT,YEAR_SPAN,DATA_SET,INCLUSION_RULE,DDST_DIST_NUMBER,DDST_DISTRICT_NAME,DSCH_SCHOOL_NUMBER,DSCH_SCHOOL_NAME,DEMH_EMH_CODE,SASID,SCALE_SCORE,MEDIAN_SGP,VALID_SCORE,INCLUDED_IN_CALCS_YN
2024,2024,ELA,1 Year,SCH,PFWK,0000,x,0000,x,E,0,685,50,1,Y
2024,2024,MATH,1 Year,SCH,PFWK,0000,x,0000,x,E,0,685,50,1,Y
2024,2024,ELA,1 Year,SCH,PFWK,0000,x,0000,x,M,0,685,50,1,Y
2024,2024,MATH,1 Year,SCH,PFWK,0000,x,0000,x,M,0,685,50,1,Y
2024,2024,ELA,1 Year,SCH,PFWK,0000,x,0000,x,H,0,685,50,1,Y
2024,2024,MATH,1 Year,SCH,PFWK,0000,x,0000,x,H,0,685,50,1,Y
2024,2024,ELA,1 Year,SCH,PFWK,0000,x,0000,x,E,0,685,50,1,Y
2024,2024,MATH,1 Year,SCH,PFWK,0000,x,0000,x,E,0,685,50,1,Y
2024,2024,ELA,1 Year,SCH,PFWK,0000,x,0000,x,M,0,685,50,1,Y
2024,2024,MATH,1 Year,SCH,PFWK,0000,x,0000,x,M,0,685,50,1,Y
2024,2024,ELA,1 Year,SCH,PFWK,0000,x,0000,x,H,0,685,50,1,Y
2024,2024,MATH,1 Year,SCH,PFWK,0000,x,0000,x,H,0,685,50,1,Y
2024,2024,ELA,1 Year,SCH,PFWK,0000,x,0000,x,E,0,685,50,1,Y
2024,2024,MATH,1 Year,SCH,PFWK,0000,x,0000,x,E,0,685,50,1,Y
2024,2024,ELA,1 Year,SCH,PFWK,0000,x,0000,x,M,0,685,50,1,Y
2024,2024,MATH,1 Year,SCH,PFWK,0000,x,0000,x,M,0,685,50,1,Y
2024,2024,ELA,1 Year,SCH,PFWK,0000,x,0000,x,H,0,685,50,1,Y
2024,2024,MATH,1 Year,SCH,PFWK,0000,x,0000,x,H,0,685,50,1,Y
2024,2024,ELA,1 Year,SCH,PFWK,0000,x,0000,x,E,0,685,50,1,Y
2024,2024,MATH,1 Year,SCH,PFWK,0000,x,0000,x,E,0,685,50,1,Y
2024,2024,ELA,1 Year,SCH,PFWK,0000,x,0000,x,M,0,685,50,1,Y
2024,2024,MATH,1 Year,SCH,PFWK,0000,x,0000,x,M,0,685,50,1,Y
2024,2024,ELA,1 Year,SCH,PFWK,0000,x,0000,x,H,0,685,50,1,Y
2024,2024,MATH,1 Year,SCH,PFWK,0000,x,0000,x,H,0,685,50,1,Y
2024,2024,ELA,1 Year,SCH,PFWK,0000,x,0000,x,E,0,685,50,1,Y
2024,2024,MATH,1 Year,SCH,PFWK,0000,x,0000,x,E,0,685,50,1,Y
